City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Seattle,251376955,222306802,567037,151400,328203,6296481,41560125,36794568,4765558,15214285,16692018,7870606,34665613,39986992,10002082,29984910,29722309,19486086,3493353,6742869,16122031,1720577,14401454,8343937,2387390,5956547,4785762,29070153,718437,31906303,8198809,76225738,48575044,173731757,179835829,120540315,23115466,2466763,1843224,18805479,36180048,3499104,51395,34449,6606,705,527,5374,10340,139166338,103981664,23931326,14800987,9130339,11253348,56146,11197202,2190360,1768162,422198,4348,417850,63536,58808,26797,1,449000,204000,84,67,39,0,0,1896321,22575.25,86110600,1,997000,249000,0,0,0,0,0,0,1,0,0,0,0,0,0.4375,7,531311,66413.875,2011
Tampa Bay,116111555,103005907,291665,234094,2223112,4289785,7446040,4207666,3238374,7638504,8675047,2551703,5734542,26399953,8279289,18120663,15742412,9183961,2088814,4469636,12264053,1232981,11031072,6850541,1569927,5280615,2664456,13105648,525759,16313550,4774814,13180582,12261585,90744322,114571938,64570493,24191622,2329805,653719,21208098,25809823,2828748,40503,22827,8552,824,231,7497,9124,71439467,52912043,11573394,7742522,3830872,6954030,41062,6912968,1485034,1165708,319326,3698,315628,48106,45390,21902,1,331000,166000,81,91,47,0,0,1529188,18878.8642,41053571,1,981000,245000,0,0,0,0,0,0,1,0,0,0,0,0,0.25,4,473281,59160.125,2011
Tucson,35486928,28274522,92890,1207884,275871,1264797,3670723,3415190,255533,1028607,2335252,783209,870864,7015980,1335229,5680751,3546095,2149011,201587,1195497,3962852,281503,3681348,1430298,205062,1225236,789200,7212407,1300775,3363859,1059080,4541586,6236294,22038227,34855621,19558964,8052184,775798,181955,7094431,7244473,988407,35264,19788,8147,785,184,7178,7329,21848666,15579226,4000256,2820800,1179456,2269184,34695,2234489,477616,370998,106618,696,105922,45745,41993,21096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
Vegas,88096898,78251020,15031,63658,1639732,4898825,2973192,2184905,788287,3319323,6009400,3866244,2381363,18003078,4348836,13654241,9190878,4523727,1837018,2830133,5401715,457724,4943992,18912935,3169643,15743292,1575647,9845878,78688,9328723,5505976,5354555,7950705,70300314,72471475,46470662,11991752,1382282,1075759,9533711,14009061,1962010,36937,23685,6112,705,548,4859,7140,51750321,37213146,8575554,5807325,2768229,5961621,1366,5960255,1076766,838724,238042,192,237850,48061,44369,25059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011
Virginia Beach,85242694,59732121,(D),(D),570229,(D),(D),(D),(D),(D),4983083,(D),(D),14965518,2346882,12618637,(D),(D),(D),(D),6283954,(D),(D),2967873,(D),(D),(D),25510573,(D),(D),(D),11291120,12094501,47637620,72539287,45968930,11783455,1308446,312452,10162557,14786902,1723014,42100,26679,6839,759,181,5898,8582,51173967,37592497,10358408,7348207,3010201,3223062,64049,3159013,1005801,844805,160996,1588,159408,50879,44498,19817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
Atlanta,287570424,260962774,(D),228417,3582854,(D),24893756,(D),(D),(D),15651643,(D),(D),56757916,(D),(D),43318419,(D),(D),(D),(D),(D),(D),9632142,(D),(D),5314810,26607651,(D),(D),(D),(D),34105385,226857389,226640964,156626129,30350277,4569447,1059906,24720924,39664558,5444763,41625,28766,5574,839,195,4540,7285,172901414,129124880,26451826,17596843,8854983,17324708,220204,17104504,3199601,2401829,797772,6455,791317,54038,53761,21615,1,508000,203000,81,94,48,0,0,2420171,29878.65432,86208000,1,922000,233000,0,0,1,316000,99000,1,0,0,0,0,1,1,0.8125,13,560773,70096.625,2012
Austin,99254274,86120209,60176,1090154,792281,4417061,12668695,11567345,1101350,11846633,5858068,1553874,6099462,14215642,4935533,9280109,14377920,10669731,(D),(D),6700861,830338,5870523,3990528,(D),(D),2448854,13134066,1150330,17704701,2346155,18768157,18236086,67884123,85635903,58411860,8651911,999974,304244,7347693,18572132,1834926,46670,31833,4715,545,166,4004,10121,63804551,44822530,8747936,5784730,2963206,10234085,-17721,10251806,1154689,859217,295472,7919,287553,55257,52167,35652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
Boise,24149824,21014974,505030,54685,246171,1085730,3492533,(D),(D),(D),2016186,(D),(D),4223502,(D),(D),2772913,(D),(D),(D),(D),(D),(D),723097,144916,578181,470242,3134850,559716,(D),(D),(D),5137978,15876996,23264918,14414087,3924255,430349,131646,3362260,4926576,637514,36493,22610,6156,675,206,5274,7728,15917305,10991611,2564838,1550070,1014768,2360856,194124,2166732,361944,273395,88549,4651,83898,43977,40204,25826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
Boston,357087616,323342588,(D),90949,4629285,9466517,35140597,25028694,10111903,18835815,12875443,(D),22632395,84560333,36584365,47975968,66238752,48335120,7937840,9965792,44032456,11900398,32132058,12606509,3658522,8947988,6221854,33745029,(D),31711258,(D),57772992,(D),(D),291048881,196873562,36101038,3641540,1836621,30622877,58074281,4656698,62501,42278,7752,782,394,6576,12471,231963320,166966343,35932827,24352450,11580377,29064150,44395,29019755,3190639,2574013,616626,2679,613947,72701,64866,47268,1,1000000,310000,81,69,34,0,0,3043003,37567.93827,110386000,1,1400000,333000,0,0,1,730000,143000,0,1,0,0,0,1,1,0.75,12,550044,68755.5,2012
Charlotte,127361099,116171292,557359,73879,(D),4017883,17006983,8477294,8529689,9141162,6332782,(D),4919726,35238747,23268572,11970175,17621819,(D),(D),(D),7043247,(D),(D),(D),(D),(D),2299471,11189807,631238,15473944,(D),21926709,21656104,94515188,104121182,73384863,15366040,1826470,692061,12847509,15370279,2318480,44909,31652,6628,788,298,5541,6629,81600982,53841218,11439428,7399196,4040232,16320336,230742,16089594,1347262,1064818,282444,6625,275819,60568,50564,58334,0,0,0,0,0,0,0,0,0,0,0,1,1048000,269000,0,0,1,315000,93000,0,0,1,0,0,0,0,0.4375,7,586347,73293.375,2012
Chicago,561588192,508763428,550397,272006,(D),16056859,74725013,(D),(D),(D),27774420,(D),(D),122113683,55073865,67039819,(D),(D),(D),19729675,49246005,10781494,38464511,21978588,(D),(D),(D),52824764,822403,(D),(D),(D),91604275,417159152,464594859,310060968,64397669,8215624,3043863,53138182,90136222,9529773,48752,32536,6758,862,319,5576,9458,346333554,255440779,59738015,41289830,18448185,31154760,216574,30938186,5643024,4509791,1133233,5416,1127817,61374,56641,27432,2,1479000,480000,162,146,83,0,0,4848711,29930.31481,204367366,1,1190000,286000,0,0,1,800000,162000,1,0,0,0,0,0,0,0.625,10,498633,62329.125,2012
Cleveland,109967066,98277373,(D),142071,1428949,2945114,17070727,10644288,6426439,8002166,5621997,(D),3666299,23639547,10160229,13479318,14681923,7350835,3648528,3682560,12487683,1709397,10778286,3524902,1276118,2248784,2345038,11689693,(D),13624163,(D),20737025,(D),(D),91619842,57832298,17041576,1948268,415650,14677658,16745968,2064716,44374,28010,8254,944,201,7109,8111,68604790,50712968,11658887,7801283,3857604,6232935,34169,6198766,1277714,1040617,237097,2564,234533,53693,48734,26430,1,410000,178000,81,68,37,0,0,1603596,19797.48148,78911300,1,987000,258000,0,0,1,434000,128000,0,0,1,0,0,0,0,0.3125,5,533058,66632.25,2012
DC,442624520,339430453,287101,266051,5658906,(D),(D),(D),(D),(D),(D),(D),(D),78021449,(D),(D),106545597,(D),(D),(D),29228384,(D),(D),14672992,(D),(D),16478222,103194067,553152,29748500,(D),35444131,25845746,313584707,369822854,266866670,31219252,3221602,1053004,26944646,71736932,5879105,62905,45392,5310,548,179,4583,12202,304606289,220395762,49528827,33466058,16062769,34681700,33253,34648447,3996916,3200503,796413,8152,788261,76210,68863,43956,1,480000,200000,81,98,50,0,1,2370794,29269.06173,92386000,1,1600000,373000,0,0,1,397000,102000,1,0,0,0,0,1,1,0.625,10,637236,79654.5,2012
Denver,152873532,136967199,(D),2847235,(D),5318567,(D),(D),(D),(D),7912024,(D),(D),31449233,(D),(D),(D),16581703,(D),(D),11210449,(D),(D),6204917,1782293,4422624,3447926,15906333,(D),(D),(D),(D),(D),(D),132036059,89374901,14859118,1445617,651088,12762413,27802040,2650456,49816,33721,5606,545,246,4815,10490,100121127,74622620,14477872,9155196,5322676,11020635,9011,11011624,1715507,1310259,405248,4288,400960,58362,56953,27463,1,464000,193000,81,64,35,0,0,2630458,32474.79012,86159366,1,1132000,276000,0,0,1,427000,110000,0,1,0,0,0,1,1,0.8125,13,613062,76632.75,2012
Green Bay,16587219,14957081,(D),17057,236231,540884,2745452,1015110,1730342,(D),758193,(D),(D),3883346,2133979,1749367,(D),(D),(D),(D),1622124,(D),(D),723549,376846,346702,(D),1630138,(D),(D),(D),(D),(D),(D),13536902,9122899,1966344,167524,87281,1711539,2447659,310602,43583,29372,6331,539,281,5510,7880,10654258,7481642,2022346,1430224,592122,1150270,175208,975062,206579,173305,33274,2567,30707,51575,43170,31754,0,0,0,0,0,0,0,0,0,0,0,1,1161000,276000,0,0,0,0,0,0,0,1,0,0,1,1,0.6875,11,564062,70507.75,2012
Houston,404431385,374573457,(D),28161730,6019967,21099191,87189655,(D),(D),40398046,17732871,(D),(D),50103334,16169570,33933764,(D),(D),(D),(D),22449338,(D),(D),10640673,2009039,8631634,7283520,29857928,(D),58130916,(D),(D),(D),(D),321412642,234897973,33988034,4637882,1113589,28236563,52526635,6184861,51968,37980,5495,750,180,4565,8493,259044679,170865806,31881449,20793847,11087602,56297424,-9400,56306824,3675499,2809931,865568,13459,852109,70479,60808,66079,1,549000,196000,81,55,35,0,0,1607733,19848.55556,37651000,1,1305000,304000,0,0,1,568000,135000,0,1,0,0,0,1,1,0.75,12,573321,71665.125,2012
LA,788081634,715065044,461543,3072013,5003760,19864297,74273610,45291900,28981710,55193843,43894235,19743657,80686462,193174053,48335377,144838676,101477215,66092836,9910931,25473448,60613510,10892383,49721126,40758234,20921658,19836575,16848610,73016590,3533556,99088079,24747417,154960073,97671463,617393580,662546329,427271310,96073276,13117053,4347388,78608835,139201743,13018855,50891,32819,7380,1008,334,6038,10692,490563089,325573005,74515074,51830544,22684530,90475010,120207,90354803,7684611,5751438,1933173,1228,1931945,63837,56607,46769,2,2056000,456000,162,175,91,0,0,6386016,39419.85185,318107100,0,0,0,0,0,2,1430000,305000,1,0,0,0,0,0,0,0,0,0,0,2012
Louisville,58653191,52725029,(D),83457,528696,1962018,(D),(D),(D),(D),3203263,(D),(D),10281378,(D),(D),5941012,(D),(D),(D),5689252,(D),(D),2409804,(D),(D),(D),5928163,(D),(D),(D),12598921,(D),(D),51405485,32732927,9216461,985650,294822,7935989,9456097,1220499,42118,26819,7551,808,242,6502,7748,37007260,26859980,6443306,4385711,2057595,3703974,27681,3676293,738035,605770,132265,5961,126304,50143,44340,29107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
Milwaukee,86516309,78433637,(D),65414,1262888,2005524,15821405,11554080,4267325,6321185,4213214,(D),2690232,18150775,6906994,11243781,10936998,5450958,2956408,2529632,10246996,2076330,8170666,2545714,833505,1712209,1946980,8082673,(D),10534399,(D),18511637,(D),(D),75359894,48765232,12255120,1682432,473455,10099233,14339542,1567241,48084,31115,7820,1073,302,6444,9150,56902043,40988866,10460869,7237950,3222919,5452308,45859,5406449,1000506,843725,156781,1504,155277,56873,48581,34818,1,448000,195000,81,83,49,0,0,2831385,34955.37037,95717000,0,0,0,0,0,1,312000,87000,0,0,1,0,0,0,0,0,0,0,0,2012
Minneapolis,205223887,185358106,660108,468210,2418203,6214648,29864161,18436588,11427573,(D),10305513,(D),(D),43572293,20209047,23363246,31532416,(D),(D),(D),18169545,2447685,15721859,6691346,2014914,4676433,4286856,19865781,1128319,(D),(D),(D),37207128,148150978,175824856,119666649,22632505,2339183,788066,19505256,33525702,3405976,51622,35134,6645,687,231,5727,9843,134874792,100533419,21282174,13632885,7649289,13059199,321897,12737302,2294188,1862679,431509,10590,420919,58790,53972,30261,1,510000,213000,81,66,31,0,0,2776354,34275.97531,99066000,1,975000,227000,0,0,1,364000,96000,0,1,0,0,0,0,1,0.625,10,485802,60725.25,2012
Nashville,94599850,86075977,(D),263359,253274,(D),10080674,(D),(D),(D),6306903,(D),4918674,14705673,(D),(D),12336606,(D),(D),3423438,(D),(D),(D),6524219,(D),(D),2318397,8523874,(D),(D),(D),14999348,13791128,72284849,79110918,57091372,11117616,1340637,219098,9557881,10901930,1702734,46461,33529,6529,787,129,5613,6403,63771816,40230620,8708435,5850773,2857662,14832761,30205,14802556,1090660,835031,255629,11565,244064,58471,48179,60650,0,0,0,0,0,0,0,0,0,0,0,1,1011000,262000,0,0,0,0,0,0,0,1,0,0,0,0,0.375,6,553144,69143,2012
NYC,1401795910,1274434717,(D),329959,(D),36269960,(D),(D),40680357,(D),62774198,(D),109343885,464080190,250201974,213878215,202260981,132969923,32006130,37284928,119891988,22771481,97120508,55407892,21745276,33662617,27021691,127361193,(D),(D),(D),(D),(D),(D),1152045984,749600578,174475961,20364412,8212841,145898708,227969445,19151823,60153,39140,9110,1063,429,7618,11903,854434481,596988582,131101704,89726520,41375184,126344195,119329,126224866,11396724,8733289,2663435,4405,2659030,74972,68358,47470,2,2569000,664000,162,169,87,0,1,5785209,35711.16667,289599324,2,2752000,525000,0,0,2,1630000,327000,1,0,0,0,0,0,0,0.46875,15,1276668,79791.75,2012
Providence,73218239,63188452,376888,27453,995382,2843019,7278256,5195640,2082616,4703687,4424260,1355395,2266599,16770513,5129173,11641340,7899582,3708930,2301174,1889478,9590146,1896008,7694138,3065050,667993,2397057,1592222,10029786,404341,9127947,2350777,9544855,10525616,52662836,72979746,46085874,14870883,1669567,843472,12357844,12022989,1605752,45449,28700,9261,1040,525,7696,7487,46570509,32400310,8284418,5658134,2626284,5885781,9293,5876488,865547,700031,165516,1689,163827,53805,46284,35870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
San Fran,364594793,330466908,(D),608135,3574576,11299970,38099352,13272841,24826511,16245784,17881107,(D),24917090,81176042,28591955,52584087,80391537,61639782,8250321,10501433,25701486,3896204,21805282,14298979,4721711,9577268,6601897,34127885,(D),34126891,(D),63016442,(D),(D),313789675,210623302,30631550,2941116,1551834,26138600,72534823,4456395,70413,47263,6874,660,348,5865,16277,233033116,163966591,32856760,22716030,10140730,36209765,107658,36102107,2836176,2151442,684734,1350,683384,82165,76212,52828,1,643000,230000,81,94,48,1,1,3377371,41695.93827,117637350,1,1175000,245000,0,0,1,555000,127000,1,0,0,0,0,1,1,0.6875,11,557856,69732,2012
Seattle,269668824,239269849,579466,117523,312471,7275968,45064948,40591350,4473598,16029076,18405643,8260197,37876268,42362616,11003327,31359290,31943460,20920002,3942320,7081138,17082764,1784484,15298280,8923274,2538090,6385184,5036174,30398975,696989,34434719,8572669,82941216,53037905,186231944,198375359,132620879,22977011,2403589,1357845,19215577,42777469,3554484,55810,37311,6464,676,382,5406,12035,151911758,111354901,24829576,15411953,9417623,15727281,48024,15679257,2258786,1838081,420705,4259,416446,67254,60582,37650,1,585000,210000,81,75,40,0,0,1721920,21258.2716,78235600,1,1040000,260000,0,0,0,0,0,0,1,0,0,0,0,1,0.6875,11,543570,67946.25,2012
Tampa Bay,120334797,106926032,367651,237040,2189583,4309431,7876930,4285436,3591494,8379761,8961012,2495710,5399927,27545184,8714847,18830338,16951924,9677774,2538541,4735610,12576089,1267369,11308720,6831733,1632795,5198938,2804058,13408765,604691,17340773,4685293,13276857,12791052,94134980,114155124,67527417,23760867,2351883,423829,20985155,22866840,2845719,40115,23729,8350,826,149,7374,8036,74774202,55516453,11996736,7923361,4073375,7261013,82032,7178981,1516827,1191535,325292,3547,321745,49296,46592,22313,1,323000,161000,81,90,46,0,0,1559681,19255.32099,63368700,1,1033000,258000,0,0,0,0,0,0,1,0,0,0,0,0,0.4375,7,440819,55102.375,2012
Tucson,36431583,28949348,88664,1065073,284071,1110971,4017878,3778330,239548,1069448,2360307,811725,834458,7275605,1551399,5724207,3609876,2180734,205547,1223595,4045316,312993,3732324,1540020,215297,1324723,835935,7482235,1153737,3429755,1095796,4852335,6282586,22666762,36127005,20465789,8037892,786453,124680,7126759,7623324,993215,36374,20606,8093,792,126,7175,7675,22773087,16134279,4014065,2806073,1207992,2624743,24517,2600226,484507,378618,105889,736,105153,47003,42614,24728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
Vegas,89213576,79284063,16284,64302,1627791,3621379,3569697,2795668,774029,3614769,6364308,4194726,2423787,16882965,3469668,13413296,9733046,4611858,2138276,2982912,5643515,465520,5177995,19867535,3919476,15948058,1659958,9929513,80586,9979077,5822517,5993485,7271663,72012400,77423058,47923994,12088467,1418274,781965,9888228,17410597,1989693,38912,24086,6076,713,393,4970,8750,53529365,38515348,9014208,6052902,2961306,5999809,-1906,6001715,1092996,855757,237239,200,237039,48975,45007,25320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
Virginia Beach,86109638,60576299,(D),(D),366056,(D),(D),(D),(D),(D),5156557,(D),(D),15693303,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25533339,245272,(D),(D),10587860,11705676,48870624,75338951,47405693,11916693,1328145,246422,10342126,16016565,1734046,43447,27338,6872,766,142,5964,9237,52788876,38682212,10596609,7476203,3120406,3510055,61925,3448130,1009951,848354,161597,1576,160021,52269,45597,21548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
Atlanta,299918186,273113553,602096,231368,(D),8712524,25434336,11697446,13736889,29267947,16329761,15165417,31136557,59916064,(D),(D),44789479,26477495,(D),(D),22260824,4394134,17866690,(D),(D),(D),5518360,26804633,833464,45597708,(D),56570893,34980324,238133229,230465705,160607138,31603603,4724723,725175,26153705,38254964,5511323,41817,29141,5734,857,132,4745,6941,179995755,133347429,28833612,19584038,9249574,17814714,293938,17520776,3285224,2460250,824974,6472,818502,54789,54201,21406,1,629000,225000,81,96,56,0,1,2548679,31465.17284,95618750,1,933000,252000,0,0,1,425000,119000,1,0,0,0,0,0,0,0.25,4,561795,70224.375,2013
Austin,105076383,91228953,81128,1045378,659701,4926663,13119160,11738184,1380976,12011185,6259365,1658909,6744002,15352496,5408001,9944495,15547612,11498134,(D),(D),6934914,860740,6074174,4251965,(D),(D),2636475,13847430,1126506,18270550,2318611,19863161,19172329,72056624,88950627,61812869,9117330,1034466,234299,7848565,18020428,1883901,47216,32811,4840,549,124,4166,9565,68206126,47075854,9581252,6451427,3129825,11549020,16441,11532579,1211230,899958,311272,7975,303297,56311,52309,38024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013
Boise,25582413,22341299,468458,60687,223220,1454727,3452941,2767797,685143,(D),2234164,598780,(D),4470757,1226937,3243820,(D),1360970,(D),(D),(D),(D),(D),766519,149962,616557,489991,3241115,529145,(D),822000,(D),5436813,16904485,24400906,15491649,4093442,432310,84547,3576585,4815815,649411,37574,23855,6303,666,130,5507,7416,17272423,11663869,2849967,1804060,1045907,2758587,185451,2573136,372424,282235,90189,4630,85559,46378,41327,30074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013
Boston,365670891,330917081,(D),93397,4844466,(D),(D),24093802,(D),19663070,13323890,(D),23853304,84828342,35468314,49360028,67255412,48754992,8321955,10178465,45303149,12216948,33086201,13607697,4184167,9423530,6387938,34753810,(D),32986961,(D),(D),(D),(D),293546105,199877311,36475002,3614607,1458209,31402186,57193792,4703321,62413,42497,7755,769,310,6677,12160,238186580,171940465,36818076,25020277,11797799,29428039,30414,29397625,3268006,2617126,650880,2721,648159,72884,65698,45356,1,1312000,336000,81,97,53,1,1,2833333,34979.41975,175395500,1,1800000,408000,0,0,1,875000,169000,0,1,0,0,0,1,1,0.75,12,550048,68756,2013
Charlotte,129874487,118148724,609475,81778,(D),4714265,18490135,8951162,9538973,9564070,6816646,4375879,5185949,32884738,20310474,12574264,17907309,(D),(D),4805126,7110017,860570,6249447,(D),(D),(D),2439381,11725763,691253,16380717,(D),23676083,23895653,94253071,99659389,69024784,15684024,1901263,391075,13391686,14950581,2358651,42253,29265,6650,806,166,5678,6339,78335819,56198415,11848281,7597784,4250497,10289123,310668,9978455,1383036,1092754,290282,6626,283656,56640,51428,35178,0,0,0,0,0,0,0,0,0,0,0,1,1057000,271000,0,0,1,410000,115000,0,0,1,0,0,1,1,0.75,12,587544,73443,2013
Chicago,577664306,522687445,906359,267092,5864810,18863370,71587852,36044345,35543507,(D),28754922,23967605,(D),124360342,54392628,69967714,87050033,(D),13452785,(D),50458791,10966599,39492192,23237028,(D),(D),(D),54976862,1173451,(D),29832414,(D),91624673,431062771,474261503,319521475,66940807,8372102,2548844,56019861,87799221,9553268,49644,33446,7007,876,267,5864,9190,360968349,260939423,62049249,43452170,18597079,37979677,596857,37382820,5730418,4574350,1156068,5480,1150588,62992,57044,32490,2,1692000,490000,162,129,68,0,0,4411095,27228.98148,149276066,1,1252000,298000,0,0,1,1000000,195000,1,0,0,0,0,0,0,0.5,8,498864,62358,2013
Cleveland,112417662,100552564,183175,125216,1094385,3279393,16910022,10972720,5937302,8199072,5890921,2606914,3798288,24167937,10221906,13946032,14962270,7495599,3708040,3758631,12972697,1711488,11261209,3942230,1444682,2497547,2420043,11865098,308391,14089993,3701300,20708311,20497806,80054758,92402423,59201337,17425513,1901679,330958,15192876,15775573,2067127,44701,28639,8430,920,160,7350,7632,70922859,51645532,12517546,8746505,3771041,6759781,50185,6709596,1290660,1048315,242345,2579,239766,54951,49265,27984,1,559000,186000,81,92,51,0,0,1572926,19418.83951,87342433,1,1005000,264000,0,0,1,515000,145000,0,0,1,0,0,0,0,0.25,4,569939,71242.375,2013
